strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
RMSCC 3488	454284	GCA_000150055.1	GCA_000150055.1	False	Scaffold	current		28146501	6	4351581	3		46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,454284	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 3488			2759		4751	4890	147545	33183	33184	5500	199306	454284					https://genome.ucsc.edu/h/GCA_000150055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/055/GCA_000150055.1/genes/GCA_000150055.1_ASM15005v1.ncbiGene.gtf.gz
RMSCC 3703	454286	GCA_000150085.1	GCA_000150085.1	False	Scaffold	current		27648536	286	232990	33		47.0			Coccidioides immitis	5501	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,5501,454286	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Coccidioides immitis RMSCC 3703			2759		4751	4890	147545	33183	33184	5500	5501	454286					https://genome.ucsc.edu/h/GCA_000150085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/085/GCA_000150085.1/genes/GCA_000150085.1_ASM15008v1.ncbiGene.gtf.gz
G186AR	447093	GCA_000150115.1	GCA_000150115.1	True	Scaffold	current		30438878	86	1769553	6		44.5		GCF_000150115.1	Histoplasma capsulatum	5037	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,5036,5037,447093	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	Histoplasma capsulatum G186AR			2759		4751	4890	147545	33183	299071	5036	5037	447093					https://genome.ucsc.edu/h/GCA_000150115.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/115/GCA_000150115.1/genes/GCA_000150115.1_ASM15011v1.ncbiGene.gtf.gz
A1163	451804	GCA_000150145.1	GCA_000150145.1	False	Scaffold	current		29205420	55	3791214	4		49.5			Aspergillus fumigatus	746128	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720872,746128,451804	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	Aspergillus fumigatus A1163			2759		4751	4890	147545	5042	1131492	5052	746128	451804					https://genome.ucsc.edu/h/GCA_000150145.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/145/GCA_000150145.1/genes/GCA_000150145.1_ASM15014v1.ncbiGene.gtf.gz
RMSCC 2133	469470	GCA_000150185.1	GCA_000150185.1	False	Scaffold	current		27848964	53	3719881	4		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,469470	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 2133			2759		4751	4890	147545	33183	33184	5500	199306	469470					https://genome.ucsc.edu/h/GCA_000150185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/185/GCA_000150185.1/genes/GCA_000150185.1_ASM15018v1.augustus.gtf.gz
RMSCC 3700	469471	GCA_000150215.1	GCA_000150215.1	False	Scaffold	current		25451258	241	284654	29		48.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,469471	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 3700			2759		4751	4890	147545	33183	33184	5500	199306	469471					https://genome.ucsc.edu/h/GCA_000150215.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/215/GCA_000150215.1/genes/GCA_000150215.1_ASM15021v1.augustus.gtf.gz
CPA 0001	469472	GCA_000150245.1	GCA_000150245.1	False	Scaffold	current		28618790	255	210522	44		46.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,469472	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii CPA 0001			2759		4751	4890	147545	33183	33184	5500	199306	469472					https://genome.ucsc.edu/h/GCA_000150245.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/245/GCA_000150245.1/genes/GCA_000150245.1_ASM15024v1.augustus.gtf.gz
Pb03	482561	GCA_000150475.2	GCA_000150475.2	False	Scaffold	current		29062735	65	1882376	6	150	44.5			Paracoccidioides brasiliensis	121759	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,38946,121759,482561	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Paracoccidioides	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb03			2759		4751	4890	147545	33183	299071	38946	121759	482561					https://genome.ucsc.edu/h/GCA_000150475.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/475/GCA_000150475.2/genes/GCA_000150475.2_Paracocci_br_Pb03_V2.ncbiGene.gtf.gz
RMSCC 1037	490065	GCA_000150555.1	GCA_000150555.1	False	Scaffold	current		26589484	633	62331	150		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490065	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 1037			2759		4751	4890	147545	33183	33184	5500	199306	490065					https://genome.ucsc.edu/h/GCA_000150555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/555/GCA_000150555.1/genes/GCA_000150555.1_ASM15055v1.augustus.gtf.gz
RMSCC 1038	490066	GCA_000150585.1	GCA_000150585.1	False	Scaffold	current		26116408	551	77341	124		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490066	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 1038			2759		4751	4890	147545	33183	33184	5500	199306	490066					https://genome.ucsc.edu/h/GCA_000150585.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/585/GCA_000150585.1/genes/GCA_000150585.1_ASM15058v1.augustus.gtf.gz
CPA 0020	490068	GCA_000150615.1	GCA_000150615.1	False	Scaffold	current		27289265	620	74903	129		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490068	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii CPA 0020			2759		4751	4890	147545	33183	33184	5500	199306	490068					https://genome.ucsc.edu/h/GCA_000150615.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/615/GCA_000150615.1/genes/GCA_000150615.1_ASM15061v1.augustus.gtf.gz
CPA 0066	490069	GCA_000150645.1	GCA_000150645.1	False	Scaffold	current		27712713	473	87602	104		46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490069	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii CPA 0066			2759		4751	4890	147545	33183	33184	5500	199306	490069					https://genome.ucsc.edu/h/GCA_000150645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/645/GCA_000150645.1/genes/GCA_000150645.1_ASM15064v1.augustus.gtf.gz
M	1518534	GCA_000150765.1	GCA_000150765.1	False	Scaffold	current		224417174	10521	4437438	16	8	44.5			Anopheles coluzzii	1518534	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,1518534	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles coluzzii				2759		33208	6656	50557	7147	7157	7164	1518534						https://genome.ucsc.edu/h/GCA_000150765.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/765/GCA_000150765.1/genes/GCA_000150765.1_m5.augustus.gtf.gz
S	7165	GCA_000150785.1	GCA_000150785.1	False	Scaffold	current		236403076	13042	3800922	19	8	44.5			Anopheles gambiae	7165	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,7165	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae				2759		33208	6656	50557	7147	7157	7164	7165						https://genome.ucsc.edu/h/GCA_000150785.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/785/GCA_000150785.1/genes/GCA_000150785.1_g4.augustus.gtf.gz
CBS 118893	535722	GCA_000150975.2	GCA_000150975.2	True	Scaffold	current		23249403	18	3227799	3	9.06	48.5		GCF_000150975.2	Nannizzia gypsea	63402	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,1915381,63402,535722	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea	Nannizzia gypsea CBS 118893			2759		4751	4890	147545	33183	34384	1915381	63402	535722					https://genome.ucsc.edu/h/GCA_000150975.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/975/GCA_000150975.2/genes/GCA_000150975.2_MS_CBS118893.ncbiGene.gtf.gz
H88	544711	GCA_000151005.2	GCA_000151005.2	False	Scaffold	current		37903857	16	5001999	4	7.77	42.0			Histoplasma capsulatum	5037	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,5036,5037,149546,544711	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	Histoplasma capsulatum var. duboisii H88			2759		4751	4890	147545	33183	299071	5036	5037	544711					https://genome.ucsc.edu/h/GCA_000151005.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/005/GCA_000151005.2/genes/GCA_000151005.2_ASM15100v2.ncbiGene.gtf.gz
H143	544712	GCA_000151035.1	GCA_000151035.1	False	Scaffold	current		38922587	48	1740271	7		41.5			Histoplasma capsulatum	5037	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,5036,5037,544712	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	Histoplasma capsulatum H143			2759		4751	4890	147545	33183	299071	5036	5037	544712					https://genome.ucsc.edu/h/GCA_000151035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/035/GCA_000151035.1/genes/GCA_000151035.1_ASM15103v1.ncbiGene.gtf.gz
DH14	546991	GCA_000151065.3	GCA_000151065.3	False	Scaffold	current		118726170	6843	2030396	18		44.0			Blumeria hordei	2867405	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147548,5120,34371,34372,2867405,546991	Ascomycota	Eukaryota		Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria hordei	Blumeria hordei DH14			2759		4751	4890	147548	5120	34371	34372	2867405	546991					https://genome.ucsc.edu/h/GCA_000151065.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/065/GCA_000151065.3/genes/GCA_000151065.3_ASM15106v3.ncbiGene.gtf.gz
CBS 113480	554155	GCA_000151145.1	GCA_000151145.1	True	Scaffold	current		23241642	16	2919762	4		47.5		GCF_000151145.1	Microsporum canis	63405	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,34392,63405,554155	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum canis	Microsporum canis CBS 113480			2759		4751	4890	147545	33183	34384	34392	63405	554155					https://genome.ucsc.edu/h/GCA_000151145.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/145/GCA_000151145.1/genes/GCA_000151145.1_ASM15114v1.ncbiGene.gtf.gz
CBS 127.97	559882	GCA_000151175.1	GCA_000151175.1	True	Scaffold	current		24132127	123	397011	22		47.5			Trichophyton equinum	63418	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,63418,559882	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton equinum	Trichophyton equinum CBS 127.97			2759		4751	4890	147545	33183	34384	5550	63418	559882					https://genome.ucsc.edu/h/GCA_000151175.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/175/GCA_000151175.1/genes/GCA_000151175.1_ASM15117v1.ncbiGene.gtf.gz
ATCC 38327	578462	GCA_000151295.1	GCA_000151295.1	True	Scaffold	current		57060573	101	1114524	17	7.31	61.5			Allomyces macrogynus	28583	1,131567,2759,33154,4751,112252,451459,451460,4805,4806,28581,28583,578462		Eukaryota		Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces macrogynus	Allomyces macrogynus ATCC 38327			2759		4751	451459	451460	4805	4806	28581	28583	578462					https://genome.ucsc.edu/h/GCA_000151295.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/295/GCA_000151295.1/genes/GCA_000151295.1_A_macrogynus_V3.ncbiGene.gtf.gz
	660122	GCA_000151355.1	GCA_000151355.1	True	Scaffold	current	17.0	51286497	209	1255602	10		51.0		GCF_000151355.1	Fusarium vanettenii	2747968	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,232080,2747968,660122	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium vanettenii	Fusarium vanettenii 77-13-4			2759		4751	4890	147550	5125	110618	5506	2747968	660122					https://genome.ucsc.edu/h/GCA_000151355.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/355/GCA_000151355.1/genes/GCA_000151355.1_v2.0.ncbiGene.gtf.gz
CBS 118892	559305	GCA_000151425.1	GCA_000151425.1	True	Scaffold	current		22502330	35	2156965	4		48.5		GCF_000151425.1	Trichophyton rubrum	5551	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,5551,559305	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum	Trichophyton rubrum CBS 118892			2759		4751	4890	147545	33183	34384	5550	5551	559305					https://genome.ucsc.edu/h/GCA_000151425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/425/GCA_000151425.1/genes/GCA_000151425.1_ASM15142v1.ncbiGene.gtf.gz
CBS 112818	647933	GCA_000151455.1	GCA_000151455.1	False	Scaffold	current		22964077	110	364603	20		48.0			Trichophyton tonsurans	34387	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,34387,647933	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton tonsurans	Trichophyton tonsurans CBS 112818			2759		4751	4890	147545	33183	34384	5550	34387	647933					https://genome.ucsc.edu/h/GCA_000151455.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/455/GCA_000151455.1/genes/GCA_000151455.1_ASM15145v1.ncbiGene.gtf.gz
HKI 0517	663202	GCA_000151505.1	GCA_000151505.1	True	Scaffold	current		22540967	523	75556	94	3	48.0		GCF_000151505.1	Trichophyton verrucosum	63417	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,63417,663202	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton verrucosum	Trichophyton verrucosum HKI 0517			2759		4751	4890	147545	33183	34384	5550	63417	663202					https://genome.ucsc.edu/h/GCA_000151505.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/505/GCA_000151505.1/genes/GCA_000151505.1_ASM15150v1.ncbiGene.gtf.gz
1-1 BBBD Race 1	630390	GCA_000151525.2	GCA_000151525.2	False	Scaffold	current		135343689	14818	544256	68	31	46.5			Puccinia triticina	208348	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5262,5296,208348,630390	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia triticina	Puccinia triticina 1-1 BBBD Race 1			2759		4751	5204	162484	5258	5262	5296	208348	630390					https://genome.ucsc.edu/h/GCA_000151525.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/525/GCA_000151525.2/genes/GCA_000151525.2_P_triticina_1_1_V2.ncbiGene.gtf.gz
ATCC 18188	653446	GCA_000151595.1	GCA_000151595.1	False	Scaffold	current		73582762	4159	400463	48	25.52	36.5			Blastomyces dermatitidis	5039	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,5039,653446	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces dermatitidis	Blastomyces dermatitidis ATCC 18188			2759		4751	4890	147545	33183	299071	229219	5039	653446					https://genome.ucsc.edu/h/GCA_000151595.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/595/GCA_000151595.1/genes/GCA_000151595.1_BD_ATCC18188_V1.ncbiGene.gtf.gz
	6182	GCA_000151775.1	GCA_000151775.1	False	Scaffold	current		402743189	25048	176869	521		34.0			Schistosoma japonicum	6182	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6157,6178,6179,6180,31244,31245,6181,6182	Platyhelminthes	Eukaryota		Metazoa	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	Schistosoma japonicum				2759		33208	6157	6178	6180	31245	6181	6182						https://genome.ucsc.edu/h/GCA_000151775.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/775/GCA_000151775.1/genes/GCA_000151775.1_ASM15177v1.augustus.gtf.gz
PS1010	860376	GCA_000165025.1	GCA_000165025.1	False	Scaffold	current		79761545	33559	9453	2055	170	36.5			Caenorhabditis angaria	860376	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,2301119,55879,6243,55885,6237,860376	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis angaria				2759		33208	6231	119089	6236	6243	6237	860376						https://genome.ucsc.edu/h/GCA_000165025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/165/025/GCA_000165025.1/genes/GCA_000165025.1_ps1010rel4.augustus.gtf.gz
ATCC 26199	447095	GCA_000166155.1	GCA_000166155.1	False	Scaffold	current		71515325	3282	291146	71	20	36.5			Blastomyces dermatitidis	5039	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,5039,447095	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces dermatitidis	Blastomyces dermatitidis ATCC 26199			2759		4751	4890	147545	33183	299071	229219	5039	447095					https://genome.ucsc.edu/h/GCA_000166155.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/166/155/GCA_000166155.1/genes/GCA_000166155.1_BD_ATCC26199_V2.ncbiGene.gtf.gz
RP-78	273507	GCA_000167175.1	GCA_000167175.1	False	Contig	current		29842556	1323	78962	109		57.0			Phanerodontia chrysosporium	2822231	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,396331,2492674,2822231,273507	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerodontia	Phanerodontia chrysosporium	Phanerochaete chrysosporium RP-78			2759		4751	5204	155619	5303	396331	2492674	2822231	273507					https://genome.ucsc.edu/h/GCA_000167175.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/167/175/GCA_000167175.1/genes/GCA_000167175.1_ASM16717v1.augustus.gtf.gz
Silveira	443226	GCA_000170175.2	GCA_000170175.2	False	Scaffold	current		27583241	54	1220107	8	5	46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,443226	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii str. Silveira			2759		4751	4890	147545	33183	33184	5500	199306	443226					https://genome.ucsc.edu/h/GCA_000170175.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/170/175/GCA_000170175.2/genes/GCA_000170175.2_CPS2.ncbiGene.gtf.gz
VW9	6305	GCA_000172435.1	GCA_000172435.1	False	Contig	current		53012960	3450	37608	372		27.5			Meloidogyne hapla	6305	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,6300,33283,33284,315429,33285,189290,6305	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Meloidogynidae	Meloidogyne	Meloidogyne hapla				2759		33208	6231	119089	6236	315429	189290	6305						https://genome.ucsc.edu/h/GCA_000172435.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/172/435/GCA_000172435.1/genes/GCA_000172435.1_Freeze_1.augustus.gtf.gz
Emoy2	559515	GCA_000173235.2	GCA_000173235.2	False	Scaffold	current		78380535	3108	332402	70	9.5	47.0			Hyaloperonospora arabidopsidis	272952	1,131567,2759,2698737,33634,4762,3418804,4776,4777,184462,272952,559515	Oomycota	Eukaryota			Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora arabidopsidis	Hyaloperonospora arabidopsidis Emoy2			2759			4762	3418804	4776	4777	184462	272952	559515					https://genome.ucsc.edu/h/GCA_000173235.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/173/235/GCA_000173235.2/genes/GCA_000173235.2_HyaAraEmoy2_2.0.augustus.gtf.gz
PS312	54126	GCA_000180635.4	GCA_000180635.4	True	Chromosome	current	6.0	158478356	46	23915096	3	100	43.0			Pristionchus pacificus	54126	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,50827,2301094,54124,54125,54126	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Neodiplogasteridae	Pristionchus	Pristionchus pacificus				2759		33208	6231	119089	6236	54124	54125	54126						https://genome.ucsc.edu/h/GCA_000180635.4	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/180/635/GCA_000180635.4/genes/GCA_000180635.4_El_Paco_v._4.ncbiGene.gtf.gz
	13249	GCA_000181055.3	GCA_000181055.3	False	Scaffold	current		706824083	16537	1088772	170	8.3	34.0			Rhodnius prolixus	13249	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33342,7524,33343,33345,33347,33349,33351,33354,33356,27479,70999,13248,13249	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius	Rhodnius prolixus				2759		33208	6656	50557	7524	27479	13248	13249						https://genome.ucsc.edu/h/GCA_000181055.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/181/055/GCA_000181055.3/genes/GCA_000181055.3_Rhodnius_prolixus-3.0.3.augustus.gtf.gz
S2F2	79327	GCA_000181075.1	GCA_000181075.1	False	Contig	current		865587040	94682	19025	11081		30.0			Schmidtea mediterranea	79327	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6157,147100,166126,6159,1292243,1292253,31262,55270,79327	Platyhelminthes	Eukaryota		Metazoa	Platyhelminthes	Rhabditophora	Tricladida	Dugesiidae	Schmidtea	Schmidtea mediterranea				2759		33208	6157	147100	6159	31262	55270	79327				freshwater planarian		https://genome.ucsc.edu/h/GCA_000181075.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/181/075/GCA_000181075.1/genes/GCA_000181075.1_ASM18107v1.augustus.gtf.gz
